Context (stripped away),Speaker,English,Translated,File name,Line number
,none,language_id,zh-Hans,?,?
,,Revered.,崇敬,Dream/asioLesson,35
,,Exalted.,高尚,Dream/asioLesson,40
,,Wise.,博识,Dream/asioLesson,45
,,This is what we owls aspire to be.,是我们猫头鹰追崇的品德。,Dream/asioLesson,53
,,"Over the centuries, <30>we have<nl>worked hard to build up the<nl>respect that people have for us.",为了赢得人们的尊重，几个世纪以<nl>来，<30>我们一直都在努力工作。,Dream/asioLesson,59
,,"And as times get harder, you too,<30><nl>as my student, <30>shall carry the weight<nl>of owlhood upon your shoulders.",总有一天，<30>作为我学生的你<30>也会肩<nl>负起猫头鹰的责任。,Dream/asioLesson,95
,,"I can see that you are<nl>already a fine young owl,<30> <b>Otus<b>.",我知道你是一只年轻又有干劲的猫<nl>头鹰，<30><b>欧图斯<b>。,Dream/asioLesson,118
,,"In time, I will mold you<nl>into the spitting image of myself!",假以时日，我会让你变得和我一样<nl>优秀！,Dream/asioLesson,123
,,No need to look so nervous!,不必那么紧张！,Dream/asioLesson,148
,,This is a great moment for you!,今天对你来说是个很重要的日子！,Dream/asioLesson,152
,,"Despite being born as a mute,<20><nl>under my tutelage you will become<nl>one of the pillars of our community!",虽然你天生无法说话，<20>但只要<nl>有我的指导，你也能成为我们<nl>社会的栋梁！,Dream/asioLesson,160
,,"Well, I see there's plenty<nl>we will have to work on.",好了，我知道你还有许多缺点<nl>需要改正。,Dream/asioLesson,175
,,"Do not worry, <30>I will straighten you out!",不过别担心，<30>我会帮你纠正它<nl>们的！,Dream/asioLesson,179
,,"I'll be honest with you, Otus.",说实话，欧图斯。,Dream/asioLessonFlight,21
,,You haven't been doing<nl>too well in your studies at all.,在前面的学习中，你的表现没<nl>有我预期的好。,Dream/asioLessonFlight,26
,,So I've been thinking that perhaps<30><nl>your talents simply lie elsewhere.,所以我在想，也许<30>你在其它方<nl>面能发挥你的才能。,Dream/asioLessonFlight,39
,,So today we'll be doing some flying.,那今天我们就来试试飞行吧。,Dream/asioLessonFlight,39
,,I bet you've been looking<nl>forward to this for a while!,我猜你已经盼着这个课程好一<nl>阵子了！,Dream/asioLessonFlight,39
,,Good!<20> Then listen closely.,很好！<20>那就认真听着。,Dream/asioLessonFlight,52
,,All you need to do is to<nl><b>jump<b> off the ground.,你要做的就是从地面上<b>跳<b>起来。,Dream/asioLessonFlight,52
,,"Then, when you're in mid-air,<nl>spread your wings and flap them.",然后在半空中伸展并挥动你<nl>的双翼。,Dream/asioLessonFlight,52
,,The owl cloak I gave you<nl>should take care of the rest.,之后的事就交给我送你的那<nl>件猫头鹰披风。,Dream/asioLessonFlight,52
,,"Go, Otus!<20> Show me what you can do!",上吧，欧图斯！<20>让我看看你的本事！,Dream/asioLessonFlight,72
,,"Why so nervous, Otus?",为什么这么紧张，欧图斯？,Dream/mandolyn,5
,,"Of course, you have every reason to be!",也是啊，你会紧张的理由太充分了！,Dream/mandolyn,15
,,You want to know truth?,你想听真话吗？,Dream/bomboman,5
,,You mute!,你是个哑巴！,Dream/bomboman,9
,,Wouldn't be able to tell anyone anyway!,听了也没法和别人说！,Dream/bomboman,13
,,The truth about you?,对你真正的看法？,Dream/professor,8
,,Are you sure you want to hear it?,你真的想听吗？,Dream/professor,18
,,Otus! Don't stray!,欧图斯！别四处乱晃！,Vellie/Asio/checkStray,20
,,"I need a word with you, Otus.<nl>Land here beside me.",我有话要交代你，欧图斯。<nl>在我旁边着陆。,Vellie/Asio/checkStray,20
,,NOW!,马上！！,Vellie/Asio/checkStray,20
,,"Alright, you're flying!<nl><30>Now, try and move around a bit!",不错，你已经飞起来了！<30>现在，<nl>试着在空中移动！,Dream/explainMovement,13
,,See that platform up there?,看到上边那个平台了吗？,Dream/explainMovement,17
,,"Fly up there and land on that island,<nl><30>then I'll teach you the real tricks.",先降落到那岛上，<30>之后我再教<nl>你真正的技巧。,Dream/explainMovement,38
,,.<20>.<20>.<20>.,…<20>…<20>…<20>…,Dream/asioLessonFlightFailed,13
,,"Hmmm, well, Otus... <30><nl>That was some terrible flying.",嗯……，好吧，欧图斯……<nl><30>你飞得很糟糕。,Dream/asioLessonFlightFailed,36
,,"I have to say, I'm <40>really disappointed.<nl><30>Most students pick this up instantly.",我必须要说，我真的<40>很失望。<nl><30>大部分学生都能很快地掌握飞行技巧。,Dream/asioLessonFlightFailed,44
,,<10>.<10>.<10>.,<10>…<10>…<10>…,Dream/asioLessonFlightFailed,60
,,Tomorrow we'll go back to normal studies.,明天我们还是恢复普通的教学吧。,Dream/asioLessonFlightFailed,68
